Date,Open,High,Low,Close,5,10,20,60,120,Volume,5,20,40,60
20191120,156000,159000,155500,156500,156100,154450,148725,139475,133846,332676,392154,511863,438557,431335
20191119,157500,157500,155500,156500,155500,153900,147900,139083,133567,323233,401010,547517,435420,435743
20191118,155500,158000,155500,157500,154900,153100,146875,138667,133279,372362,415622,548234,436295,435100
20191115,154500,155500,153500,155500,154200,152000,145675,138242,133000,281084,443112,540321,433057,435050
20191114,154500,155000,152000,154500,153500,151000,144525,137825,132738,651414,567050,542916,443146,434073
20191113,152500,154000,151000,153500,152800,149700,143325,137408,132496,376959,681204,541254,435014,428217
20191112,154000,154500,152000,153500,152300,148150,142250,137025,132258,396292,709161,560082,435925,427576
20191111,153000,155000,152000,154000,151300,146750,141275,136658,132033,509809,730463,549779,444380,427003
20191108,152000,155000,151000,152000,149800,145350,140300,136258,131788,900774,715803,540166,439399,422924
20191107,152000,154500,147000,151000,148500,144150,139450,135925,131633,1222184,679058,507057,433709,420920
20191106,149000,151000,148000,151000,146600,143000,138725,135525,131475,516744,579851,480665,407937,416485
20191105,146000,149000,145500,148500,144000,141900,137900,135067,131333,502806,526775,466073,409984,414948
20191104,146500,147500,145500,146500,142200,140650,137200,134625,131167,436509,499656,458134,408195,418473
20191101,142500,146000,142000,145500,140900,139350,136550,134225,131029,717046,545552,448229,404570,421153
20191031,139000,144000,138500,141500,139800,138050,136050,133942,130871,726151,441453,419992,401039,416609
20191030,140500,140500,137500,138000,139400,136950,135850,133692,130763,251362,394241,396301,392945,408659
20191029,141500,142000,138000,139500,139800,136350,135725,133508,130675,367213,553123,393833,395460,409380
20191028,142000,145000,139500,140000,139100,135800,135525,133283,130579,665988,547195,383910,392667,411051
20191025,140000,141000,139500,140000,137800,135250,135350,133100,130438,196552,456817,361149,388512,406095
20191024,140500,142000,139000,139500,136300,134750,135150,132950,130271,490092,484104,366418,392972,414510
20191023,136000,140000,135500,140000,134500,134450,135075,132808,130104,1045771,509719,365251,391071,427938
20191022,134000,136000,134000,136000,132900,133900,134800,132742,129896,337570,451268,323323,379856,422046
20191021,132500,134000,131000,133500,132500,133750,134775,132742,129729,214102,421802,324357,378532,424245
20191018,131000,133500,131000,132500,132700,133750,134875,132750,129600,332984,442493,325793,382414,427486
20191017,131500,132500,129000,130500,133200,134050,135100,132792,129467,618170,423613,343375,379651,432873
20191016,134000,134500,128500,132000,134400,134750,135175,132808,129363,753513,438848,328774,371698,425417
20191015,135000,135000,133000,134000,134900,135100,135175,132792,129238,190243,333127,311769,361323,418336
20191014,136000,136500,134000,134500,135000,135250,135125,132775,129092,317555,363882,338980,365615,420559
20191011,136500,137500,134500,135000,134800,135450,135175,132750,128950,238584,348055,338631,364303,428326
20191010,133000,137000,132500,136500,134900,135550,135075,132692,128804,694345,330800,360362,377852,429359
20191008,134500,135000,133500,134500,135100,135700,135050,132592,128588,224907,242394,335208,384395,426552
20191007,134000,135000,133000,134500,135300,135700,135075,132533,128321,344020,237814,353895,389385,428019
20191004,134500,136000,133500,133500,135500,135800,135275,132475,128054,238417,202762,358256,398643,430013
20191002,136500,137000,135500,135500,136100,136000,135475,132383,127796,152309,197232,360911,407614,435722
20191001,136000,138000,136000,137500,136200,136150,135550,132350,127504,252319,227154,382085,414917,440824
20190930,134500,136000,134000,135500,136300,135600,135400,132267,127208,202006,270041,389589,414839,442663
20190927,136500,136500,134500,135500,136100,135250,135275,132192,126933,168760,271085,397087,417154,444307
20190926,137000,137500,135000,136500,136100,135000,135175,132125,126658,210766,308980,401424,424621,445902
20190925,137500,138500,136000,136000,135900,134900,135050,132008,126375,301919,315391,415875,428568,449619
20190924,135000,138000,134500,138000,136100,134600,134875,131933,126104,466753,391933,419527,438556,450626
20190923,135000,136500,134500,134500,134900,134400,134625,131825,125813,207227,363811,416891,459282,454583
20190920,135500,135500,133000,135500,134400,134450,134550,131742,125554,358235,405050,436388,471408,459730
20190919,136500,137500,135000,135500,133900,134750,134350,131658,125279,242822,480296,432708,474189,469708
20190918,133000,137000,133000,137000,133900,134950,134175,131500,125004,684630,493845,439036,478333,470767
20190917,132000,134000,132000,132000,133100,134950,133850,131325,124729,326141,491560,415927,477622,472830
20190916,134500,135000,131000,132000,133900,135200,133725,131158,124479,413424,464586,414622,473739,472193
20190911,135500,136000,133000,133000,134500,135300,133650,130992,124246,734465,501630,410877,471620,468285
20190910,133000,135500,132500,135500,135600,135350,133575,130792,123992,310565,440987,392250,461349,461779
20190909,135000,135500,132000,133000,136000,135200,133300,130558,123713,673204,437175,389976,473173,462431
20190906,135000,136500,135000,136000,136800,135150,133250,130425,123458,191271,417692,395342,463857,457166
20190905,138000,139000,134500,135000,136500,134850,132800,130267,123221,598646,459920,433582,472223,466434
20190904,137000,139000,136500,138500,136100,134650,132225,130083,122992,431250,410582,424875,465081,460001
20190903,137500,138000,136000,137500,135100,133950,131400,129850,122725,291503,375433,439030,465891,456885
20190902,134000,137500,133500,137000,134400,133400,130650,129625,122446,575791,417088,454318,473128,460476
20190830,134000,135500,134000,134500,133500,132750,130225,129342,122167,402408,376921,447748,470194,459832
20190829,133000,133500,131000,133000,133200,132250,129825,129108,121929,351957,379246,440088,469199,458253
20190828,134000,135000,132500,133500,133200,132000,129525,128883,121717,255507,428291,437220,467917,466515
20190827,133500,135000,133000,134000,132800,131800,129150,128700,121475,499775,434116,447817,468142,467524
20190826,130000,133000,129500,132500,132400,131400,128900,128542,121238,374958,408037,441262,466491,464611
20190823,132000,133500,130500,133000,132000,131350,128825,128408,121021,414033,377535,457585,466175,466040
20190822,131500,135000,131500,133000,131300,130750,128725,128217,120817,597184,354737,501674,473429,464525
20190821,131000,133000,130500,131500,130800,129800,128875,128050,120571,284628,303004,506427,471401,464003
20190820,131000,132000,129500,132000,130800,128850,129100,127892,120350,369383,318464,515671,488208,468429
20190819,130500,131500,129500,130500,130400,127900,129200,127758,120113,222446,297604,517629,486632,475041
20190816,129500,130000,128000,129500,130700,127700,129425,127650,119844,300046,409218,539318,501281,478419
20190814,133000,133000,129000,130500,130200,127400,129525,127583,119593,338519,540426,532856,500979,487429
20190813,130000,132500,129000,131500,128800,127050,129550,127492,119329,361927,557621,532362,496989,493370
20190812,133000,133500,129500,130000,126900,126500,129625,127408,119064,265084,628105,530447,496544,502329
20190809,128000,133000,127500,132000,125400,126400,129775,127317,118814,780515,694542,556370,498658,584945
20190808,128000,129000,125500,127000,124700,126300,129750,127342,118564,956084,627320,532373,488078,581251
20190807,124500,125000,121500,123500,124600,126700,129925,127425,118352,424495,485942,510865,482860,586000
20190806,118500,124500,117500,122000,125300,127950,130300,127600,118160,714349,459965,505287,477563,601603
20190805,128000,129000,121500,122500,126100,129350,130750,127708,117961,597268,410583,492752,465812,599444
20190802,126000,130000,123500,128500,127400,130500,131025,127833,,444403,364865,491938,463554,606272
20190801,126000,128500,125500,126500,127900,131150,131275,127800,,249194,416265,492639,465873,621411
20190731,125000,128000,124500,127000,128800,131650,131575,127833,,294609,625590,498311,467335,628928
20190730,128500,129500,126000,126000,130600,132050,131775,127842,,467439,705119,498614,481162,635096
20190729,130000,132000,128000,129000,132600,132750,132050,127875,,368682,705530,488466,477377,645622
20190726,129000,132000,127000,131000,133600,133150,132075,127775,,701403,713504,491719,476286,651853
20190725,136000,136000,128000,131000,134400,133200,132100,127592,,1295817,704467,474766,470268,648411
20190724,136000,138000,134000,136000,134500,133150,132125,127400,,692256,479468,445184,445950,635359
20190723,134000,136500,133000,136000,133500,132650,131800,127050,,469494,406744,436376,442791,629934
20190722,134500,136000,133500,134000,132900,132150,131525,126717,,408551,377571,460746,444808,626979
20190719,132000,135500,131500,135000,132700,131550,131125,126450,,656218,452570,455635,453747,627556
20190718,130500,132500,130500,131500,132000,131400,130700,126142,,170819,381439,463245,447970,620943
20190717,132000,132500,129500,131000,131800,131500,130225,125917,,328637,452459,469102,464716,625721
20190716,133500,134000,132000,133000,131800,131500,129775,125683,,323628,449320,461616,473874,625738
20190715,132500,136000,131000,133000,131400,131350,129175,125408,,783546,477323,462640,488270,627743
20190712,131000,132500,129500,131500,130400,131000,128600,125150,,300566,436813,440946,599232,625569
20190711,131000,133000,130500,130500,130800,131000,128275,124917,,525918,468384,443782,605690,649630
20190710,132000,132000,129000,131000,131200,131100,128075,124583,,312943,435727,454856,623568,661348
20190709,128500,132000,128000,131000,131200,130950,127725,124108,,463640,433272,449840,649761,658838
20190708,133500,133500,128000,128000,131300,130900,127400,123633,,581000,393441,438873,652791,655341
20190705,133000,134000,131500,133500,131600,130700,127200,123208,,458417,363988,435171,663439,650046
20190704,131000,132500,129500,132500,131200,130000,126525,122658,,362634,344776,439108,685798,648790
20190703,131500,132000,130000,131000,131000,128950,125925,122150,,300667,413081,436359,694236,646137
20190702,129500,131500,128000,131500,130700,128050,125350,121675,,264488,456167,463710,703337,643328
20190701,132500,133000,129000,129500,130500,127000,124900,121192,,433735,594649,466288,724200,643271
20190628,131500,133000,130000,131500,129800,126200,124650,120742,,362354,569168,460853,731920,640944
20190627,131000,133500,130000,131500,128800,125550,124300,120275,,704159,658382,465769,735233,638693
20190626,131000,132500,129000,129500,126900,125050,123800,119800,,516097,575141,446717,730447,630560
20190625,129000,131000,127500,130500,125400,124500,123475,119367,,956899,507706,449207,726713,624522
20190624,127000,128000,125500,126000,123500,123900,123050,118900,,306333,385147,428869,710096,611289
20190621,124500,128000,124000,126500,122600,123700,122950,118508,,808423,393813,451860,713516,609662
20190620,122000,124000,120000,122000,122300,123050,122825,118133,,287954,303588,432695,699792,600479
20190619,122500,122500,121000,122000,123200,122900,123000,117800,,178919,395476,460330,704031,598543
20190618,121500,123000,120000,121000,123600,122650,123150,117500,,344107,402216,486132,707799,599554
20190617,125000,125000,121000,121500,124300,122800,123425,117192,,349662,382255,513901,710294,597655
20190614,127000,128000,124500,125000,124800,123100,123575,116867,,357300,413712,757518,717880,600028
20190613,124000,127500,123500,126500,123800,123050,124000,116492,,747390,449685,767597,752554,604157
20190612,124500,125000,122500,124000,122600,122550,124275,116175,,212619,361740,792281,764594,594989
20190611,124000,125000,122500,124500,121700,122450,124775,115900,,244302,488753,849683,763337,599174
20190610,120000,125000,119000,124000,121300,122200,124975,115600,,506951,503100,866709,763574,602504
20190607,120000,120500,117500,120000,121400,122200,125275,115267,,537162,466717,891707,757484,598062
20190605,121000,121500,119500,120500,122300,122600,125600,114992,,307665,451421,932488,753631,595456
20190604,122500,124000,116500,119500,122500,123100,126000,114750,,847685,454511,952113,751026,594928
20190603,123500,125500,122000,122500,123200,123650,126400,114550,,316035,398154,942964,733137,594013
20190531,124000,126000,123000,124500,123100,124050,126675,114250,,325040,444975,982112,731762,594252
20190530,122000,125500,122000,124500,123000,124050,126600,113933,,460680,533196,1002987,730989,593805
20190529,122500,123500,120500,121500,122900,124950,126375,113633,,323116,526088,1004698,725155,594002
20190528,121000,125000,120500,123000,123700,126000,126275,113417,,565899,629594,1014177,722481,602834
20190527,125000,126500,120500,122000,124100,127100,125875,113092,,550142,655406,1004218,712179,605624
20190524,123000,124000,120500,124000,125000,127750,125575,112808,,766145,725273,991323,702500,605654
20190523,125000,127000,123500,124000,125100,128350,125275,112467,,425136,1616445,975172,688564,613533
20190522,125500,126500,121500,125500,127000,128600,124900,112038,,840648,1643196,966889,684371,612623
20190521,126500,127500,125000,125000,128300,128900,124525,111602,,694961,1723278,947732,667649,603516
20190520,126500,128500,125500,126500,130100,129150,124125,111167,,899474,1856418,929465,656265,597407
20190517,129000,129500,124000,124500,130500,129300,123625,110720,,5222004,1793488,906687,639533,588868
20190516,132500,134000,130500,133500,131600,129150,123275,110312,,558891,950471,678242,521283,505687
20190515,135500,136000,130000,132000,130200,127800,122475,109787,,1241060,1109246,737511,522437,502301
20190514,127000,135000,126500,134000,129500,126550,121400,109278,,1360661,1001067,736907,496343,492510
20190513,130500,130500,127000,128500,128200,124650,119825,108720,,584824,861878,676991,473920,483985
20190510,128500,131000,127500,130000,128100,123400,118525,108213,,1006921,964711,660440,470401,482898
20190509,133500,133500,126500,126500,126700,122200,117150,,,1352763,911836,623261,451240,
20190508,126500,130000,125500,128500,125400,121200,115850,,,700167,740261,574774,426940,
20190507,126000,130000,126000,127500,123600,120150,114525,,,664716,702769,549940,416336,
20190503,126000,129000,125500,128000,121100,119100,113275,,,1098989,643170,523309,419538,
20190502,120000,124500,119500,123000,118700,117950,112000,,,742545,481819,481413,400322,
20190430,119000,121000,118500,120000,117700,117400,110975,,,494890,421937,458991,389214,
20190429,115500,119500,114000,119500,117000,117150,110150,,,512703,374854,445613,388654,
20190426,115500,117500,113000,115000,116700,116250,109325,,,366725,363814,430785,397163,
20190425,117500,118000,115000,116000,117100,115000,108750,,,292233,356393,420140,406326,
20190424,117500,118500,115500,118000,117200,113650,108075,,,443136,386731,413676,412820,
20190423,118500,119500,116000,116500,117100,112100,107300,,,259471,428725,401955,432714,
20190422,118000,120500,117000,118000,117300,110500,106675,,,457505,725685,401854,435489,
20190419,117000,119000,115000,117000,115800,108900,105875,,,329620,879978,387566,431408,
20190418,119000,119500,116000,116500,112900,107450,105225,,,443925,846524,383066,431378,
20190417,117000,119000,115500,117500,110100,106050,104525,,,653103,808498,372378,429958,
20190416,113500,118000,112500,117500,107100,104550,103750,,,1744272,730544,364323,419409,
20190415,104000,110500,103000,110500,103700,103150,103000,,,1228969,458297,307362,384696,
20190412,102500,102500,101500,102500,102000,102400,102850,,,162349,253199,255778,370312,
20190411,103000,103000,101500,102500,102000,102500,103100,,,253796,247150,270849,387483,
20190410,101000,103000,100500,102500,102000,102500,103300,,,263334,248604,280362,394127,
20190409,102000,102000,100000,100500,102000,102500,103375,,,383038,254757,279218,,
20190408,103000,103500,101500,102000,102600,102850,103525,,,203479,223617,279105,,
20190405,102500,103000,102000,102500,102800,102850,103725,,,132105,226148,282733,,
20190404,102500,103000,101500,102500,103000,103000,103975,,,261063,230491,315767,,
20190403,103000,104000,102000,102500,103000,103000,104075,,,294101,210872,319231,,
20190402,103500,104000,102000,103500,103000,102950,104225,,,227338,193793,319437,,
20190401,103500,104000,102000,103000,103100,102850,104375,,,216132,199816,331696,,
20190329,103000,104000,102500,103500,102900,103300,104650,,,153823,190939,363541,,
20190328,102000,104000,102000,102500,103000,103700,104650,,,162966,208097,392513,,
20190327,104500,104500,102000,102500,103000,104100,104775,,,208707,221539,411964,,
20190326,102500,105500,102000,104000,102900,104250,104825,,,257452,278197,463473,,
20190325,102000,104000,101500,102000,102600,104200,104540,,,171747,347718,469125,,
20190322,103000,104500,103000,104000,103700,104600,104405,,,239614,352827,475250,,
20190321,102000,104000,101500,102500,104400,104950,104150,,,230173,397657,479691,,
20190320,103000,103500,100000,102000,105200,105150,104010,,,492001,440433,487538,,
20190319,107500,108500,102500,102500,105600,105500,103910,,,605054,390126,474495,,
20190318,108000,108500,107000,107500,105800,105900,103885,,,197291,345271,462029,,
20190315,106500,108500,106500,107500,105500,106000,103585,,,463768,361018,484846,,
20190314,105000,107500,104500,106500,105500,105600,103235,,,444051,426821,504116,,
20190313,104000,106500,103500,104000,105100,105450,102815,,,240466,404082,507892,,
20190312,106500,107000,103500,103500,105400,105400,,,,380777,415633,,,
20190311,108000,108000,104500,106000,106000,104880,,,,276026,433978,,,
20190308,109000,109500,106500,107500,106500,104210,,,,792787,549381,,,
20190307,105500,107000,103500,104500,105700,103350,,,,330354,537475,,,
20190306,107000,108000,104000,105500,105800,102870,,,,298220,581800,,,
20190305,108000,108000,105500,106500,105400,102320,,,,472504,769937,,,
20190304,105500,109000,105000,108500,103760,101870,,,,853038,749533,,,
20190228,105000,106500,103500,103500,101920,101170,,,,733261,637774,,,
20190227,104500,105500,103000,105000,101000,100870,,,,551979,556811,,,
20190226,98400,103500,98400,103500,99940,100180,,,,1238902,523837,,,
20190225,99400,99800,98100,98300,99240,,,,,370483,322283,,,
20190222,99500,100500,98800,99300,99980,,,,,294247,319335,,,
20190221,99800,101000,98800,98900,100420,,,,,328444,391213,,,
20190220,100500,101000,98500,99700,100740,,,,,387109,495356,,,
20190219,101500,102000,100000,100000,100420,,,,,231131,521847,,,
20190218,102500,103000,101000,102000,,,,,,355745,,,,
20190215,101500,103500,100500,101500,,,,,,653634,,,,
20190214,97800,101000,96100,100500,,,,,,849160,,,,
20190213,96500,98900,95500,98100,,,,,,519566,,,,
